,Image Names,Number of Cracks,Type D00,Type D01,Type D10,Type D11,Type D20,Type D40,Type D43,Type D44,Average Detection Score,Maximum Detection Score,Minimum Detection Score,Average Crack Region Percentage,Maximum Crack Region Percentage,Minimum Crack Region Percentage,Average Size of Cracks,Maximum Size of Cracks,Minimum Size of Cracks
0,_7_iOsBeN7AHSyAiG_amjg,1,,1,,,,,,,0.54,0.54,0.54,0.052615625,0.052615625,0.052615625,,,
1,_4mgbJbqWJrQ-CVaFrTnjQ,1,,,,,,,,1,0.65,0.65,0.65,0.164484375,0.164484375,0.164484375,,,
2,_2O8J22zj5u7hWH7jfONfw,1,,,,,,,,1,0.39,0.39,0.39,0.11875,0.11875,0.11875,,,
3,_8Kuxb5-azWZTZml-OgKrQ,1,,,,,,,,1,0.35,0.35,0.35,0.2134375,0.2134375,0.2134375,,,
4,_6QqoX04dbN9bYUCkh5hoA,2,,,,,,,,2,0.7366666666666667,0.84,0.53,0.238625,0.2499,0.216075,,,
5,_1kpZcLgeQ8wsb1JWqIH3Q,1,,,,,,,,1,0.52,0.52,0.52,0.220103125,0.220103125,0.220103125,,,
6,_27RWYkbAT3ncM03OA2A-Q,1,,,,,,,,1,0.7,0.7,0.7,0.0828,0.0828,0.0828,,,
7,_chJutvCELV360Lic1r4dQ,1,,,,,,,,1,0.34,0.34,0.34,0.0441875,0.0441875,0.0441875,,,
8,_aIlmjnTUT_2LazJPXpxAA,1,,,,,,,,1,0.35,0.35,0.35,0.107525,0.107525,0.107525,,,
9,_38Pd2RtY9y8NyzlDKauiQ,2,,,,,,,,2,0.49666666666666665,0.51,0.47,0.1951625,0.2607875,0.16235,,,
10,_0WtPLNMrybZpenNX8SlNg,1,,,,,,,,1,0.65,0.65,0.65,0.15703125,0.15703125,0.15703125,,,
11,__5MwEhjfdop6bJsLa-5ZA,1,,1,,,,,,,0.3,0.3,0.3,0.04021875,0.04021875,0.04021875,,,
12,_5Ak3Uqjcv5_hBfC8zCubg,2,,,,,,,,2,0.7200000000000001,0.84,0.48,0.25761874999999995,0.29521875,0.18241875,,,
13,48,2,,1,,,,,,1,0.5533333333333333,0.64,0.38,0.1839345238095238,0.2100892857142857,0.131625,,,
14,_DQN7tANrL3XXw5QuNmH-A,1,,,,,,,,1,0.72,0.72,0.72,0.120040625,0.120040625,0.120040625,,,
15,_3PS0RlWFX9_8I-jQIZuFQ,,,,,,,,,,,,,,,,,,
